release_id,track_position,person_name,person_name_variant,role,discogs_artist_id,discogs_release_id,source
rel_5b0b9001e9d8,11,Clip Payne,Mike Clip Payne,Backing Vocals,23295,1753393,discogs
rel_5b0b9001e9d8,11,Kim Crowley,,Backing Vocals,1293083,1753393,discogs
rel_5b0b9001e9d8,11,Lige Curry,,Backing Vocals,160478,1753393,discogs
rel_5b0b9001e9d8,11,Louis Kabbabie,Louie Kabbabi,Backing Vocals,301195,1753393,discogs
rel_5b0b9001e9d8,11,Paul Hill,,Backing Vocals,332668,1753393,discogs
rel_5b0b9001e9d8,11,Starr Cullars,,Backing Vocals,781293,1753393,discogs
rel_5b0b9001e9d8,11,Steve Boyd,,Backing Vocals,159528,1753393,discogs
rel_5b0b9001e9d8,11,Michael Hampton,,Guitar,55917,1753393,discogs
rel_5b0b9001e9d8,11,Paul Hill,,Lead Vocals,332668,1753393,discogs
rel_5b0b9001e9d8,12,Belita Woods,,Backing Vocals,119347,1753393,discogs
rel_5b0b9001e9d8,12,Garry Shider,Gary Shider,Backing Vocals,156375,1753393,discogs
rel_c79e0e9f7f0b,,Planet Of The P,,Other [Cd Jacket Graphics & Layout],0,2523098,discogs
rel_c79e0e9f7f0b,,SGR@TheFunkStore.com,,Other [Disc Graphics & Layout],0,2523098,discogs
rel_c79e0e9f7f0b,,www.PhotoByldella.com,,Photography [Cover],0,2523098,discogs
rel_c79e0e9f7f0b,1,Matt Scheidt,,Bass,1388540,2523098,discogs
rel_c79e0e9f7f0b,1,Foxman,,Drums,1998267,2523098,discogs
rel_c79e0e9f7f0b,1,Herb Hines,,Guitar,1998270,2523098,discogs
rel_c79e0e9f7f0b,1,Andre Foxxe,,"Vocals, Guitar",76870,2523098,discogs
rel_c79e0e9f7f0b,1,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,2,Matt Scheidt,,Bass,1388540,2523098,discogs
rel_c79e0e9f7f0b,2,Doug Walls,,Drums,1388541,2523098,discogs
rel_c79e0e9f7f0b,2,Herb Hines,,Guitar,1998270,2523098,discogs
rel_c79e0e9f7f0b,2,Andre Foxxe,,"Vocals, Guitar",76870,2523098,discogs
rel_c79e0e9f7f0b,2,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,3,Matthew D. Guarnere,Matt Guarnere,Drums,1304987,2523098,discogs
rel_c79e0e9f7f0b,3,Herb Hines,,Guitar,1998270,2523098,discogs
rel_c79e0e9f7f0b,3,Andre Foxxe,,Vocals,76870,2523098,discogs
rel_c79e0e9f7f0b,3,Matt Scheidt,,"Vocals, Bass",1388540,2523098,discogs
rel_c79e0e9f7f0b,3,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,4,Warren Elliot,,Drums,1998263,2523098,discogs
rel_c79e0e9f7f0b,4,Fishbone,,Featuring [Special Guest],121386,2523098,discogs
rel_c79e0e9f7f0b,4,Bil Agidan,,Vocals,1998274,2523098,discogs
rel_c79e0e9f7f0b,4,Matt Scheidt,,"Vocals, Bass",1388540,2523098,discogs
rel_c79e0e9f7f0b,4,Andre Foxxe,,"Vocals, Guitar",76870,2523098,discogs
rel_c79e0e9f7f0b,4,Herb Hines,,"Vocals, Guitar",1998270,2523098,discogs
rel_c79e0e9f7f0b,4,M. Paul,,Written By,39896,2523098,discogs
rel_c79e0e9f7f0b,4,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,5,Lonnie Motley,,Bass,1998264,2523098,discogs
rel_c79e0e9f7f0b,5,Charlie Grover,,Drums,789328,2523098,discogs
rel_c79e0e9f7f0b,5,Carl Robinson,,Guitar,332630,2523098,discogs
rel_c79e0e9f7f0b,5,Amp Fiddler,,Organ,37718,2523098,discogs
rel_c79e0e9f7f0b,5,Andre Foxxe,,"Vocals, Guitar",76870,2523098,discogs
rel_c79e0e9f7f0b,5,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,6,Matt Scheidt,,Bass,1388540,2523098,discogs
rel_c79e0e9f7f0b,6,Foxman,,Drums,1998267,2523098,discogs
rel_c79e0e9f7f0b,6,Andre Foxxe,,Guitar,76870,2523098,discogs
rel_c79e0e9f7f0b,6,Herb Hines,,Guitar,1998270,2523098,discogs
rel_c79e0e9f7f0b,7,Adam Pitcher,,Bass,1998268,2523098,discogs
rel_c79e0e9f7f0b,7,Doug Walls,,Drums,1388541,2523098,discogs
rel_c79e0e9f7f0b,7,Tim Pitcher,,Guitar,1998273,2523098,discogs
rel_c79e0e9f7f0b,7,Vinnie P,,Guitar,1998272,2523098,discogs
rel_c79e0e9f7f0b,7,"Pete ""Straw""",,Organ,1998271,2523098,discogs
rel_c79e0e9f7f0b,7,Andre Foxxe,,"Vocals, Guitar",76870,2523098,discogs
rel_c79e0e9f7f0b,7,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,8,Gabe Gonzalez (2),,Drums,1469358,2523098,discogs
rel_c79e0e9f7f0b,8,Ken The Black Hole,,Guitar,1998265,2523098,discogs
rel_c79e0e9f7f0b,8,Mace Man (2),,Guitar,1998269,2523098,discogs
rel_c79e0e9f7f0b,8,Michael Hampton,,Guitar,55917,2523098,discogs
rel_c79e0e9f7f0b,8,Andre Foxxe,,"Vocals, Guitar",76870,2523098,discogs
rel_c79e0e9f7f0b,8,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,9,Matt Scheidt,,Bass,1388540,2523098,discogs
rel_c79e0e9f7f0b,9,Doug Walls,,Drums,1388541,2523098,discogs
rel_c79e0e9f7f0b,9,Herb Hines,,Guitar,1998270,2523098,discogs
rel_c79e0e9f7f0b,9,Andre Foxxe,,"Vocals, Guitar",76870,2523098,discogs
rel_c79e0e9f7f0b,9,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,9,Herb Hines,H. Hines,Written-By,1998270,2523098,discogs
rel_c79e0e9f7f0b,10,Adam Pitcher,,Bass,1998268,2523098,discogs
rel_c79e0e9f7f0b,10,"Pete ""Straw""",,Drums,1998271,2523098,discogs
rel_c79e0e9f7f0b,10,Tim Pitcher,,Guitar,1998273,2523098,discogs
rel_c79e0e9f7f0b,10,Andre Foxxe,,"Vocals, Guitar",76870,2523098,discogs
rel_c79e0e9f7f0b,10,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,10,Tim Pitcher,T. Pitcher,Written-By,1998273,2523098,discogs
rel_c79e0e9f7f0b,11,Adam Pitcher,,Bass,1998268,2523098,discogs
rel_c79e0e9f7f0b,11,Doug Walls,,Drums,1388541,2523098,discogs
rel_c79e0e9f7f0b,11,Tim Pitcher,,Guitar,1998273,2523098,discogs
rel_c79e0e9f7f0b,11,Vinnie P,,Guitar,1998272,2523098,discogs
rel_c79e0e9f7f0b,11,"Pete ""Straw""",,Organ,1998271,2523098,discogs
rel_c79e0e9f7f0b,11,Andre Foxxe,,"Vocals, Guitar",76870,2523098,discogs
rel_c79e0e9f7f0b,11,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_c79e0e9f7f0b,12,K. Henderson,,Written By,3416419,2523098,discogs
rel_c79e0e9f7f0b,12,Andre Foxxe,A. Foxxe,Written-By,76870,2523098,discogs
rel_560dde8d88cb,A1,Little Steven,,"Words By, Music By",90542,54827,discogs
rel_560dde8d88cb,A1,Artists United Against Apartheid,,Performer,143887,54827,discogs
rel_560dde8d88cb,A2,Peter Gabriel,,Featuring [Features],11136,54827,discogs
rel_560dde8d88cb,A2,Shankar,,Featuring [Features],158759,54827,discogs
rel_560dde8d88cb,A2,Peter Gabriel,,Performer,11136,54827,discogs
rel_560dde8d88cb,A2,Shankar,,Performer,158759,54827,discogs
rel_560dde8d88cb,A3,Keith LeBlanc,Keith Le Blanc,"Compiled By, Edited By",40521,54827,discogs
rel_560dde8d88cb,A3,The News Dissector,,"Compiled By, Edited By",1403927,54827,discogs
rel_560dde8d88cb,A3,Keith LeBlanc,,Performer,40521,54827,discogs
rel_560dde8d88cb,B1,Artists United Against Apartheid,,Performer,143887,54827,discogs
rel_560dde8d88cb,B2,Duke Bootee,,Featuring [Features],21918,54827,discogs
rel_560dde8d88cb,B2,Gil Scott-Heron,,Featuring [Features],16533,54827,discogs
rel_560dde8d88cb,B2,Grandmaster Melle Mel,,Featuring [Features],77180,54827,discogs
rel_560dde8d88cb,B2,Malopoets,,Featuring [Features],862853,54827,discogs
rel_560dde8d88cb,B2,Miles Davis,,Featuring [Features],23755,54827,discogs
rel_560dde8d88cb,B2,Peter Garrett,,Featuring [Features],486346,54827,discogs
rel_560dde8d88cb,B2,Peter Wolf,,Featuring [Features],132067,54827,discogs
rel_560dde8d88cb,B2,Ray Barretto,,Featuring [Features],19599,54827,discogs
rel_560dde8d88cb,B2,Sonny Okosun,Sonny Okosuns,Featuring [Features],797376,54827,discogs
rel_560dde8d88cb,B2,Gil Scott-Heron,,Performer,16533,54827,discogs
rel_560dde8d88cb,B2,Melle Mel,,Performer,19701,54827,discogs
rel_560dde8d88cb,B2,Duke Bootee,,Performer,21918,54827,discogs
rel_560dde8d88cb,B3,Anthony Williams,Tony Williams,Featuring [Features],261295,54827,discogs
rel_560dde8d88cb,B3,Herbie Hancock,,Featuring [Features],3865,54827,discogs
rel_560dde8d88cb,B3,Miles Davis,,Featuring [Features],23755,54827,discogs
rel_560dde8d88cb,B3,Richard Scher,,Featuring [Features],93285,54827,discogs
rel_560dde8d88cb,B3,Ron Carter,,Featuring [Features],95088,54827,discogs
rel_560dde8d88cb,B3,Sonny Okosun,Sonny Okosuns,Featuring [Features],797376,54827,discogs
rel_560dde8d88cb,B3,Stanley Jordan,,Featuring [Features],29989,54827,discogs
rel_560dde8d88cb,B3,Miles Davis,,Performer,23755,54827,discogs
rel_560dde8d88cb,B3,Ron Carter,,Performer,95088,54827,discogs
rel_560dde8d88cb,B3,Stanley Jordan,,Performer,29989,54827,discogs
rel_560dde8d88cb,B3,Anthony Williams,Tony Williams,Performer,261295,54827,discogs
rel_560dde8d88cb,B3,Herbie Hancock,,Performer,3865,54827,discogs
rel_560dde8d88cb,B4,Bono,,Performer,39677,54827,discogs
rel_560dde8d88cb,B4,Keith Richards,,Performer,166570,54827,discogs
rel_560dde8d88cb,B4,Ron Wood,,Performer,271311,54827,discogs
rel_77f620cb4d52,A1,David Van DePitte,Dave Van De Pitte,Arranged By [String Arrangement],331070,43989,discogs
rel_77f620cb4d52,A1,Garry Shider,G. Shider,Written-By,156375,43989,discogs
rel_77f620cb4d52,A1,George Clinton,G. Clinton,Written-By,29262,43989,discogs
rel_77f620cb4d52,A1,J.S. Theracon,,Written-By,736231,43989,discogs
rel_77f620cb4d52,A1,Rodney Curtis,R. Curtis,Written-By,224132,43989,discogs
rel_77f620cb4d52,A2,Bernie Worrell,B. Worrell,Written-By,33708,43989,discogs
rel_77f620cb4d52,A2,J.S. Theracon,,Written-By,736231,43989,discogs
rel_77f620cb4d52,A2,Tyrone Lampkin,T. Lampkin,Written-By,215450,43989,discogs
rel_77f620cb4d52,A3,J.S. Theracon,J.S. Thiracon,Keyboards [Additional],736231,43989,discogs
rel_77f620cb4d52,A3,Eli Fontaine,,Saxophone [Saxsolo],296361,43989,discogs
rel_77f620cb4d52,A3,Bernie Worrell,B. Worrell,Written-By,33708,43989,discogs
rel_77f620cb4d52,A3,George Clinton,G. Clinton,Written-By,29262,43989,discogs
rel_77f620cb4d52,A4,Bernie Worrell,B. Worrell,Written-By,33708,43989,discogs
rel_77f620cb4d52,A4,George Clinton,G. Clinton,Written-By,29262,43989,discogs
rel_77f620cb4d52,A4,Jim Vitti,J. Vitti,Written-By,382651,43989,discogs
rel_77f620cb4d52,B1,Archie Ivy,A. Ivy,Written-By,233514,43989,discogs
rel_77f620cb4d52,B1,Bernie Worrell,B. Worrell,Written-By,33708,43989,discogs
rel_77f620cb4d52,B1,George Clinton,G. Clinton,Written-By,29262,43989,discogs
rel_77f620cb4d52,B2,Fred Wesley,,Arranged By [Horn Arrangement],29807,43989,discogs
rel_77f620cb4d52,B2,Bernie Worrell,B. Worrell,Written-By,33708,43989,discogs
rel_77f620cb4d52,B2,Bootsy Collins,W. Collins,Written-By,24072,43989,discogs
rel_77f620cb4d52,B2,George Clinton,G. Clinton,Written-By,29262,43989,discogs
rel_77f620cb4d52,B3,Bernie Worrell,B. Worrell,Written-By,33708,43989,discogs
rel_77f620cb4d52,B3,George Clinton,G. Clinton,Written-By,29262,43989,discogs
rel_77f620cb4d52,B3,Jim Vitti,J. Vitti,Written-By,382651,43989,discogs
rel_a5ad6fd2968b,1,Bernie Worrell,,"Arranged By [Strings], Harpsichord, Written-By",33708,205211,discogs
rel_a5ad6fd2968b,1,Karl Berger,,Conductor,73564,205211,discogs
rel_a5ad6fd2968b,2,Maceo Parker,,Alto Saxophone,84795,205211,discogs
rel_a5ad6fd2968b,2,Darryl Mack,,Beats,603818,205211,discogs
rel_a5ad6fd2968b,2,Bill Laswell,,"Beats, Loops",661,205211,discogs
rel_a5ad6fd2968b,2,Bernie Worrell,,"Electric Organ [Hammond B-3 Organ], Synthesizer [Mini Moog]",33708,205211,discogs
rel_a5ad6fd2968b,2,Bootsy Collins,,Guitar,24072,205211,discogs
rel_a5ad6fd2968b,2,Fred Wesley,,Trombone,29807,205211,discogs
rel_a5ad6fd2968b,2,Bootsy Collins,,Vocals,24072,205211,discogs
rel_a5ad6fd2968b,2,Gary Mudbone Cooper,"Gary ""Mudbone"" Cooper",Vocals,8211,205211,discogs
rel_a5ad6fd2968b,2,George Clinton,,Vocals,29262,205211,discogs
rel_a5ad6fd2968b,2,James Sumbi,,Vocals,162351,205211,discogs
rel_a5ad6fd2968b,2,Mike G (2),Mike G.,Vocals,162352,205211,discogs
rel_a5ad6fd2968b,2,Bernie Worrell,B. Worrell,Written-By,33708,205211,discogs
rel_a5ad6fd2968b,2,Bill Laswell,B. Laswell,Written-By,661,205211,discogs
rel_a5ad6fd2968b,2,George Clinton,G. Clinton,Written-By,29262,205211,discogs
rel_a5ad6fd2968b,2,James Sumbi,J. Sumbi,Written-By,162351,205211,discogs
rel_a5ad6fd2968b,2,Michael Small (2),M. Small,Written-By,580975,205211,discogs
rel_a5ad6fd2968b,3,Aiyb Dieng,,Cowbell,143235,205211,discogs
rel_a5ad6fd2968b,3,Bernie Worrell,,"Melodica, Synthesizer, Synthesizer [Mini Moog], Vocals",33708,205211,discogs
rel_a5ad6fd2968b,3,Bill Laswell,,Sampler,661,205211,discogs
rel_a5ad6fd2968b,3,Bootsy Collins,,Vocals,24072,205211,discogs
rel_a5ad6fd2968b,3,Debra Barsha,,Vocals,159530,205211,discogs
rel_a5ad6fd2968b,3,Gary Mudbone Cooper,"Gary ""Mudbone"" Cooper",Vocals,8211,205211,discogs
rel_a5ad6fd2968b,3,George Clinton,,Vocals,29262,205211,discogs
rel_a5ad6fd2968b,3,Bernie Worrell,B. Worrell,Written-By,33708,205211,discogs
rel_a5ad6fd2968b,3,Bill Laswell,B. Laswell,Written-By,661,205211,discogs
rel_a5ad6fd2968b,3,Bootsy Collins,B. Collins,Written-By,24072,205211,discogs
rel_a5ad6fd2968b,3,George Clinton,G. Clinton,Written-By,29262,205211,discogs
rel_a5ad6fd2968b,4,Maceo Parker,,Alto Saxophone,84795,205211,discogs
rel_a5ad6fd2968b,4,Anthony Williams,Tony Williams,Drums,261295,205211,discogs
rel_a5ad6fd2968b,4,Bernie Worrell,,Electric Organ [Hammond B-3 Organ],33708,205211,discogs
rel_a5ad6fd2968b,4,Bernie Worrell,B. Worrell,Written-By,33708,205211,discogs
rel_a5ad6fd2968b,5,Maceo Parker,,Alto Saxophone,84795,205211,discogs
rel_a5ad6fd2968b,5,Bill Laswell,,Effects [Sound Effects],661,205211,discogs
rel_a5ad6fd2968b,5,Bootsy Collins,,Guitar,24072,205211,discogs
rel_a5ad6fd2968b,5,Sly Dunbar,,Loops [Drum Loop],30419,205211,discogs
rel_a5ad6fd2968b,5,Aiyb Dieng,,Percussion [Chatan],143235,205211,discogs
rel_a5ad6fd2968b,5,Bernie Worrell,,"Synthesizer, Clavinet, Synthesizer [Mini Moog]",33708,205211,discogs
rel_a5ad6fd2968b,5,Fred Wesley,,Trombone,29807,205211,discogs
rel_a5ad6fd2968b,5,Bootsy Collins,,Vocals,24072,205211,discogs
rel_a5ad6fd2968b,5,Gary Mudbone Cooper,"Gary ""Mudbone"" Cooper",Vocals,8211,205211,discogs
rel_a5ad6fd2968b,5,George Clinton,,Vocals,29262,205211,discogs
rel_a5ad6fd2968b,5,Bernie Worrell,B. Worrell,Written-By,33708,205211,discogs
rel_a5ad6fd2968b,5,Bootsy Collins,B. Collins,Written-By,24072,205211,discogs
rel_a5ad6fd2968b,5,George Clinton,G. Clinton,Written-By,29262,205211,discogs
rel_a5ad6fd2968b,6,Bootsy Collins,,Acoustic Bass,24072,205211,discogs
rel_a5ad6fd2968b,6,Maceo Parker,,Alto Saxophone,84795,205211,discogs
rel_a5ad6fd2968b,6,Bernie Worrell,,Electric Piano,33708,205211,discogs
rel_a5ad6fd2968b,6,Sly Dunbar,,Loops [Drum Loop],30419,205211,discogs
rel_a5ad6fd2968b,6,Aiyb Dieng,,"Percussion [Chatan], Talking Drum, Cowbell",143235,205211,discogs
rel_a5ad6fd2968b,6,Fred Wesley,,Trombone,29807,205211,discogs
rel_a5ad6fd2968b,6,James Sumbi,,Vocals,162351,205211,discogs
rel_a5ad6fd2968b,6,Mike G (2),Mike G.,Vocals,162352,205211,discogs
rel_a5ad6fd2968b,6,Bernie Worrell,B. Worrell,Written-By,33708,205211,discogs
rel_a5ad6fd2968b,6,Bill Laswell,B. Laswell,Written-By,661,205211,discogs
rel_a5ad6fd2968b,6,James Sumbi,J. Sumb,Written-By,162351,205211,discogs
rel_a5ad6fd2968b,6,Michael Small (2),M. Small,Written-By,580975,205211,discogs
rel_a5ad6fd2968b,7,Bernie Worrell,,"Arranged By [Strings], Synthesizer, Clavinet, Synthesizer [Mini Moog]",33708,205211,discogs
rel_a5ad6fd2968b,7,Karl Berger,,Conductor,73564,205211,discogs
rel_a5ad6fd2968b,7,Bootsy Collins,,Guitar,24072,205211,discogs
rel_a5ad6fd2968b,7,Bill Laswell,,Loops,661,205211,discogs
rel_a5ad6fd2968b,7,Gary Mudbone Cooper,"Gary ""Mudbone"" Cooper",Vocals,8211,205211,discogs
rel_a5ad6fd2968b,7,George Clinton,,Vocals,29262,205211,discogs
rel_a5ad6fd2968b,7,Mike G (2),Mike G.,Vocals,162352,205211,discogs
rel_a5ad6fd2968b,7,Bernie Worrell,B. Worrell,Written-By,33708,205211,discogs
rel_a5ad6fd2968b,7,Bill Laswell,B. Laswell,Written-By,661,205211,discogs
rel_a5ad6fd2968b,7,Bootsy Collins,B. Collins,Written-By,24072,205211,discogs
rel_a5ad6fd2968b,7,Michael Small (2),M. Small,Written-By,580975,205211,discogs
rel_a5ad6fd2968b,8,Anthony Williams,Tony Williams,Drums,261295,205211,discogs
rel_a5ad6fd2968b,8,Bernie Worrell,,Electric Organ [Hammond B-3 Organ],33708,205211,discogs
rel_a5ad6fd2968b,8,Maceo Parker,,"Flute, Alto Saxophone",84795,205211,discogs
rel_a5ad6fd2968b,8,Bernie Worrell,B. Worrell,Written-By,33708,205211,discogs
rel_a5ad6fd2968b,8,Maceo Parker,M. Parker,Written-By,84795,205211,discogs
rel_a5ad6fd2968b,9,Bernie Worrell,,Arranged By [Strings],33708,205211,discogs
rel_a5ad6fd2968b,9,Karl Berger,,Conductor,73564,205211,discogs
rel_a5ad6fd2968b,9,Bernie Worrell,B. Worrell,Written-By,33708,205211,discogs
rel_94cc288e31ef,1,Joe Zawinul,Josef Erich Zawinul,Written-By,56960,1627607,discogs
rel_94cc288e31ef,2,Bootsy Collins,William Earl Collins,Written-By,24072,1627607,discogs
rel_94cc288e31ef,2,Gary Mudbone Cooper,Gary Lee Cooper,Written-By,8211,1627607,discogs
rel_94cc288e31ef,2,George Clinton,George Clinton Jr.,Written-By,29262,1627607,discogs
rel_94cc288e31ef,3,John Coltrane,,Written-By,97545,1627607,discogs
rel_94cc288e31ef,4,Charles Mingus,,Written-By,200815,1627607,discogs
rel_94cc288e31ef,5,Bernie Worrell,,Written-By,33708,1627607,discogs
rel_94cc288e31ef,6,Stan Vincent,,Written-By,328883,1627607,discogs
rel_94cc288e31ef,7,Carlos Santana,,Written-By,79340,1627607,discogs
rel_94cc288e31ef,8,Bernie Worrell,,Written-By,33708,1627607,discogs
rel_94cc288e31ef,9,Tony Hester,Anthony Hester,Written-By,332637,1627607,discogs
rel_94cc288e31ef,10,Bernie Worrell,,Written-By,33708,1627607,discogs
rel_94cc288e31ef,11,Bob Marley,,Written-By,41441,1627607,discogs
rel_1090285ed1b6,1,Joe DeMaio,Joey DeMaio,Engineer,1163414,43994,discogs
rel_1090285ed1b6,1,La Mar Mitchell,,Mixed By,227006,43994,discogs
rel_1090285ed1b6,1,Bernie Worrell,,Written-By,33708,43994,discogs
rel_1090285ed1b6,2,Bill Laswell,,"Bass, Bells",661,43994,discogs
rel_1090285ed1b6,2,Hamid Drake,,"Drums, Tabla, Percussion",273086,43994,discogs
rel_1090285ed1b6,2,Aiyb Dieng,,"Percussion, Congas, Bells, Instruments [Chatan]",143235,43994,discogs
